Time,Open,High,Low,Last,Change,%Chg,Volume
"01/12/2021 14:50",34093.09,34093.09,33897.77,34089.38,-0.11,0.00%,183
"01/12/2021 14:45",33921.88,34172.82,33919.24,34089.49,164.9,+0.49%,174
"01/12/2021 14:40",33820.91,33960.59,33806.56,33924.59,105.64,+0.31%,182
"01/12/2021 14:35",33890.55,33956.01,33780.56,33818.95,-73.22,-0.22%,167
"01/12/2021 14:30",34203.93,34205.84,33885.95,33892.17,-312.15,-0.91%,173
"01/12/2021 14:25",34017.38,34240.34,33905.9,34204.32,186.94,+0.55%,157
"01/12/2021 14:20",34069.21,34103.83,34017.38,34017.38,-51.83,-0.15%,170
"01/12/2021 14:15",34380.61,34380.61,34029.51,34069.21,-313.79,-0.91%,160
"01/12/2021 14:10",34281.16,34429.32,34240.24,34383,101.84,+0.30%,151
"01/12/2021 14:05",34532.34,34533.64,34224.5,34281.16,-251.18,-0.73%,166
"01/12/2021 14:00",34677.73,34677.73,34532.34,34532.34,-145.4,-0.42%,190
"01/12/2021 13:55",34574.29,34725.68,34574.21,34677.74,105.38,+0.30%,180
"01/12/2021 13:50",34533.39,34606.32,34520.99,34572.36,38.65,+0.11%,174
"01/12/2021 13:45",34255.56,34533.71,34202.34,34533.71,276.92,+0.81%,178
"01/12/2021 13:40",34418.03,34418.66,34255.19,34256.79,-166.11,-0.48%,159
"01/12/2021 13:35",34494.6,34547.26,34422.84,34422.9,-71.7,-0.21%,155
"01/12/2021 13:30",34526.18,34629.7,34494.6,34494.6,-31.59,-0.09%,158
"01/12/2021 13:25",34621.07,34627.7,34500.31,34526.19,-96.13,-0.28%,176
"01/12/2021 13:20",34798.81,34840.36,34614.22,34622.32,-176.23,-0.51%,161
"01/12/2021 13:15",34825.68,34910.38,34783.12,34798.55,-28.06,-0.08%,183
"01/12/2021 13:10",34722.24,34844.76,34670.59,34826.61,95.21,+0.27%,150
"01/12/2021 13:05",34764.8,34833.77,34731.4,34731.4,-34.95,-0.10%,154
"01/12/2021 13:00",35015.27,35018.21,34739.73,34766.35,-248.92,-0.71%,155
"01/12/2021 12:55",34932.81,35083.98,34932.81,35015.27,87.78,+0.25%,176
"01/12/2021 12:50",34937.89,34940.03,34841.51,34927.49,-10.4,-0.03%,166
"01/12/2021 12:45",35048.91,35187.77,34930.38,34937.89,-112.2,-0.32%,165
"01/12/2021 12:40",35066.53,35092.95,34972.46,35050.09,-16.98,-0.05%,164
"01/12/2021 12:35",35107.18,35107.18,35051.82,35067.07,-40.07,-0.11%,170
"01/12/2021 12:30",35288.61,35319.94,35079.37,35107.14,-180.67,-0.51%,166
"01/12/2021 12:25",35328.8,35357.48,35235.5,35287.81,-34.18,-0.10%,167
