,Date,Time,Open,High,Low,Close,ST_ALMA
277,04/13/2012,09:34:05.410,2720.75,2722.5,2718.5,2718.5,2723.33
278,04/13/2012,09:37:19.210,2718.25,2718.75,2716,2716,2719.94
279,04/13/2012,09:39:52.170,2715.75,2726.75,2711,2711,2717.81
280,04/13/2012,10:19:53.115,2710.75,2712.75,2708.5,2708.5,2714.5
281,04/13/2012,10:24:57.000,2708.25,2708.25,2706,2706,2711.13
282,04/13/2012,10:26:11.700,2705.75,2707.25,2703.5,2703.5,2707.42
283,04/13/2012,10:33:50.286,2703.25,2704.25,2701,2701,2704.83
284,04/13/2012,10:35:38.220,2700.75,2701,2698.5,2698.5,2702.35
285,04/13/2012,10:37:08.600,2698.25,2704.25,2696,2696,2700.23
286,04/13/2012,10:48:31.190,2695.75,2711.75,2694,2703.75,2699.88
287,04/13/2012,14:30:00.000,2704,2710,2694,2694,2700.15
288,04/13/2012,15:59:10.600,2693.75,2698,2691.5,2691.5,2698.5
289,04/13/2012,16:14:58.400,2691.25,2691.75,2691,2691.75,2695.21
290,04/15/2012,00:11:22.000,2691.75,2695.75,2687.25,2687.25,2691.88
291,04/15/2012,19:35:19.300,2687,2692.5,2684.75,2684.75,2689.73
292,04/15/2012,20:58:20.700,2684.5,2684.5,2682.25,2682.25,2687.04
293,04/15/2012,20:58:20.840,2682,2695.5,2682,2695.5,2686.46
294,04/16/2012,03:32:09.160,2695.75,2698,2689.75,2698,2689.17
295,04/16/2012,04:59:28.000,2698.25,2700.5,2695.5,2700.5,2694.27
296,04/16/2012,05:50:30.000,2700.75,2703,2700.5,2703,2698.63
297,04/16/2012,06:00:22.110,2703.25,2705.5,2695.25,2705.5,2700.96
298,04/16/2012,08:35:02.000,2705.75,2708,2705.5,2708,2703.67
299,04/16/2012,08:38:04.900,2708.25,2710,2690.5,2690.5,2703
300,04/16/2012,09:46:58.280,2690.25,2692.5,2688,2688,2698.77
301,04/16/2012,09:50:34.300,2687.75,2688,2685.5,2685.5,2692.06
302,04/16/2012,09:50:41.660,2685.25,2685.5,2683,2683,2686.85
303,04/16/2012,09:51:07.400,2682.75,2683.75,2680.5,2680.5,2684.25
304,04/16/2012,09:51:25.247,2680.25,2681.75,2678,2678,2681.85
305,04/16/2012,09:51:33.740,2677.75,2679.75,2675.5,2675.5,2679.5
306,04/16/2012,09:51:51.600,2675.25,2675.5,2673,2673,2676.94
307,04/16/2012,09:51:54.780,2672.75,2677.75,2670.5,2670.5,2674.73
308,04/16/2012,09:55:17.420,2670.25,2671.25,2668,2668,2672.15
309,04/16/2012,09:55:41.650,2667.75,2668.25,2665.5,2665.5,2669.67
310,04/16/2012,09:55:51.670,2665.25,2673.25,2663,2663,2667.42
311,04/16/2012,10:12:00.720,2662.75,2667,2660.5,2660.5,2665.19
312,04/16/2012,10:16:55.280,2660.25,2660.5,2658,2658,2662.67
313,04/16/2012,10:17:17.200,2657.75,2675.5,2656.5,2675.5,2662.73
314,04/16/2012,10:49:03.000,2675.75,2680.25,2660.25,2680.25,2666.54
315,04/16/2012,14:51:08.600,2680.5,2681,2654.25,2679,2671.38
316,04/17/2012,08:45:57.280,2679.25,2681.5,2672.25,2681.5,2675.48
317,04/17/2012,09:37:44.400,2681.75,2684,2681,2684,2678.33
318,04/17/2012,09:40:43.650,2684.25,2686.5,2682.5,2686.5,2682.08
319,04/17/2012,09:42:36.130,2686.75,2689,2684.5,2689,2684.98
320,04/17/2012,09:50:34.470,2689.25,2691.5,2689,2691.5,2687.52
321,04/17/2012,09:51:42.100,2691.75,2694,2685.5,2694,2689.65
322,04/17/2012,10:12:01.130,2694.25,2696.5,2693,2696.5,2692.23
323,04/17/2012,10:17:13.340,2696.75,2699,2695.75,2699,2694.67
324,04/17/2012,10:22:21.000,2699.25,2701.5,2694.75,2701.5,2697.31
325,04/17/2012,10:48:16.260,2701.75,2704,2700,2704,2699.77
326,04/17/2012,11:00:21.190,2704.25,2706.5,2704.25,2706.5,2702.35
327,04/17/2012,11:01:04.130,2706.75,2709,2706,2709,2705.17
328,04/17/2012,11:07:29.000,2709.25,2711.5,2705.75,2711.5,2707.52
329,04/17/2012,12:08:30.350,2711.75,2714,2710,2714,2709.88
330,04/17/2012,12:22:43.470,2714.25,2716.5,2713.25,2716.5,2712.35
331,04/17/2012,12:33:04.390,2716.75,2719,2716,2719,2715.08
332,04/17/2012,12:37:14.230,2719.25,2721.5,2715.75,2721.5,2717.44
333,04/17/2012,13:33:06.240,2721.75,2724,2719.25,2724,2719.81
